All,Visi
"Create Category","Izveidot kategoriju"
"Category Name","Kategorijas nosaukums"
"Parent Category","Augstāka kategorija"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ja nav speciālu vecāko kategoriju, lietojiet noklusēto galveno kategoriju. Jūs varat pārlikt kategoriju jebkurā laikā <a href=""%1"" target=""_blank"">Produkti > Kategorijas</a>."
"Price Alert Subscriptions","Pierakstīšanās cenu izmaiņām"
"Stock Alert Subscriptions","Pierakstīšanās noliktavas izmaiņām"
"There are no customers for this alert.","Nav klientu šo paziņojumu saņēmējiem."
"Subscribe Date","Pierakstīšanās datums"
"Last Notified","Pēdējo reizi paziņots"
"Send Count","Sūtīt skaitu"
"New Attribute","Jauns atribūts"
"Attribute Set","Atribūtu kopa"
"Add New Option","Pievienot jaunu opciju"
"Import Options","Importēšanas opcijas"
Import,Importēt
"Add New Row","Pievienot jaunu rindu"
"Delete Row","Dzēst rindu"
"Tier Pricing","Cenu līmenis"
"Default Price","Noklusētā cena"
"ALL GROUPS","VISAS GRUPAS"
"Add Price","Pievienot cenu"
"Default Values","Noklusētās vērtības"
"Related Products","Saistītie produkti"
Up-sells,"Papildus pārdošana"
Cross-sells,Šķērspārdošana
"Size for %1","Izmērs priekš %1"
"Watermark File for %1","Ūdenszīmes fails priekš %1"
"Position of Watermark for %1","Pozīcija ūdenszīmei priekš %1"
"Name in %1","Nosaukums %1"
"Change Status","Mainīt statusu"
"Update Attributes","Atjaunot atribūtus"
"start typing to search category","sāciet rakstīt lai atrastu kategoriju"
"New Category","Jauna kategorija"
"Add New Images","Pievienot jaunus attēlus"
"Inc. Tax","Ieskaitot PVN"
"Does this have a weight?","Vai šim ir svars?"
"Notify Low Stock RSS","Paziņot RSS par tukšu noliktavu"
"Low Stock Products","Produkti ar maziem krājumiem"
"%1 has reached a quantity of %2.","%1 skaits sasniedzis %2."
"Go to Home Page","Iet uz sākumlapu"
"Subscribe to RSS Feed","Pierakstīties RSS plūsmai"
"Products Comparison List","Produktu salīdzināšanas saraksts"
"New Products from %1","Jauni produkti no %1"
"New Products","Jauni produkti"
"%1 - Special Products","%1 - Īpašie produkti"
"Click for price","Noklikšķiniet, lai saņemtu cenu"
"Special Expires On: %1","Īpašais beidzas: %1"
"Price: %1","Cena: %1"
"Special Price: %1","Īpašā cena: %1"
"Special Products","Īpašie produkti"
"Manage Catalog Categories","Pārvaldīt kataloga kategorijas"
"Manage Categories","Pārvaldīt kategorijas"
"You deleted the category.","Kategorija ir izdzēsta."
"Something went wrong while trying to delete the category.","Kļūda mēģinot dzēst kategoriju."
Categories,Kategorijas
"Category is not available for requested store.","Kategorija nav pieejama pieprasītajam veikalam."
"There was a category move error.","Kļūda pārvietojot kategoriju."
"You moved the category.","Kategorija ir pārvietota."
"Something went wrong while saving the category.","Kļūda saglabājot kategoriju."
"You saved the category.","Kategorija ir saglabāta."
"Please select products for attributes update.","Izvēlieties produktus atribūtu atjaunināšanai."
"Please make sure to define SKU values for all processed products.","Pārliecinieties ka nodefinējāt artikulus visiem procesētajiem produktiem."
"Something went wrong while updating the product(s) attributes.","Kļūda atjaunojot produktu atribūtus."
"Something went wrong while processing the request.","Kļūda apstrādājot pieprasījumu."
"Unable to add attribute","Nevar pievienot atribūtu"
"Manage Product Attributes","Pārvaldīt produktu atribūtus"
"We can't delete the attribute.","Nevar nodzēst atribūtu."
"You deleted the product attribute.","Produkta atribūts ir nodzēsts."
"We can't find an attribute to delete.","Nevar atrast atribūtu lai nodzēstu."
"This attribute no longer exists.","Atribūts vairs neeksistē."
"This attribute cannot be edited.","Šo atribūtu nevar labot."
"Edit Product Attribute","Labot produkta atribūtu"
"An attribute set named '%1' already exists.","Atribūtu kopa ar nosaukumu '%1' jau eksistē."
"Something went wrong while saving the attribute.","Kļūda saglabājot atribūtu."
"We can't update the attribute.","Nevar atjaunināt atribūtu."
"You saved the product attribute.","Produkta atribūts ir saglabāts."
"An attribute with this code already exists.","Atribūts ar šādu kodu jau eksistē."
"An attribute with the same code (%1) already exists.","Atribūts ar tādu pašu kodu (%1) jau eksistē."
"The value of Admin must be unique. (%1)","Admin vērtībai jābūt unikālai. (%1)"
"The value of Admin scope can't be empty.","Admin vērtība nevar būt tukša."
"You duplicated the product.","Produkts ir duplicēts."
"This product doesn't exist.","Šāds produkts neeksistē."
"Invalid product id. Should be numeric value greater than 0","Nederīga produkta id. Skaitliskai vērtībai jābūt lielākai par 0"
"A group with the same name already exists.","Grupa ar šādu nosaukumu jau eksistē."
"Something went wrong while saving this group.","Kļūda saglabājot šo grupu."
"A total of %1 record(s) have been deleted.","Pavisam izdzēsti %1 ieraksti."
"A total of %1 record(s) have been updated.","Pavisam atjaunoti %1 ieraksti."
"Something went wrong while updating the product(s) status.","Kļūda atjaunojot produktu statusu."
"You saved the product.","Produkts ir saglabāts"
"SKU for product %1 has been changed to %2.","Produkta %1 artikuls tika mainīts uz %2."
"The image cannot be removed as it has been assigned to the other image role","Attēlu nevar nodzēst, jo tas ir piešķirts citam attēlam"
"New Attribute Set","Jauna atribūtu kopa"
"The attribute set has been removed.","Atribūtu kopa ir nodzēsta."
"We can't delete this set right now.","Nevar nodzēst šo kopu."
"New Set","Jauna kopa"
"Manage Product Sets","Pārvaldīt produktu kopas"
"Manage Attribute Sets","Pārvaldīt atribūtu kopas"
"This attribute set no longer exists.","Šī atribūtu kopa vairs neeksistē."
"You saved the attribute set.","Atribūtu kopa ir saglabāta."
"Something went wrong while saving the attribute set.","Kļūda saglabājot atribūtu kopu."
"You cleared the comparison list.","Salīdzināšanas saraksts ir iztīrīts."
"Something went wrong  clearing the comparison list.","Kļūda tīrot salīdzināšanas sarakstu."
"You removed product %1 from the comparison list.","Jūs izdzēsāt %1 no salīdzināšanas."
"1 item","1 produkts"
"%1 items","%1 produkti"
"Are you sure you want to remove this item from your Compare Products list?","Vai vēlaties noņemt produktu no salīdzināšanas saraksta?"
"Are you sure you want to remove all items from your Compare Products list?","Vai vēlaties noņemt visus produktus no salīdzināšanas saraksta?"
"Invalid attribute %1","Nederīgs atribūts %1"
Grid,Režģis
List,Saraksts
"Bad controller interface for showing product","Nepareizs kontroliera interfeiss produkta parādīšanai"
"Product is not loaded","Produkts nav ielādēts"
"Make sure the To Date is later than or the same as the From Date.","Pārliecinieties, ka Līdz datums ir lielāks vai tāds pats kā No datums."
"Sorry, but we can't find the new parent category you selected.","Nevar atrast jaunu augstāku kategoriju kuru izvēlējāties."
"Sorry, but we can't find the new category you selected.","Nevar atrast jaunu kategoriju kuru izvēlējāties."
"We can't move the category because the parent category name matches the child category name.","Nevar pārvietot kategoriju, jo augstākas ketegorijas nosaukums ir tāds pats kā zemākas kategorijas nosaukums."
"Something went wrong while getting the image url.","Kļūda saņemot attēla saiti."
"Can't delete root category.","Nevar nodzēst saknes kategoriju."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Noklusētā produktu saraksta šķirošana pēc neeksistē Pieejamo produktu škirošanā pēc."
"No layout updates","Nav izkārtojuma atjauninājumu"
"Products only","Tikai produkti"
"Static block only","Tikai statiskais bloks"
"Static block and products","Statiskais bloks un produkti"
"Please select a static block.","Izvēlieties statisko bloku."
"Could not save product ""%1"" with position %2 to category %3","Nevar saglabāt produktu ""%1"" ar pozīciju %2 kategorijā %3"
"Could not save product ""%product"" with position %position to category %category","Nevar saglabāt produktu ""%product"" ar pozīciju %position kategorijā %category"
"Operation do not allow to move a parent category to any of children category","Operācija neļauj pārvietot augstāku kategoriju uz kādu no apakškategorijām"
"Could not move category","Nevar pārvietot kategoriju"
"Could not save category: %1","Nevar saglabāt kategoriju: %1"
"Cannot delete category with id %1","Nevar izdzēst kategoriju ar id: %1"
"-- Please Select a Category --","-- Izvēlieties kategoriju --"
"Grid Only","Tikai režģis"
"List Only","Tikai saraksts"
"Grid (default) / List","Režģis (noklusētais) / Saraksts"
"List (default) / Grid","Saraksts (noklusētais) / Režģis"
"Automatic (equalize price ranges)","Automātiski (izlīdzināt cenu apgabalu)"
"Automatic (equalize product counts)","Automātiski (izlīdzināt produktu skaitu)"
Manual,Manuāli
"-- Please select --","-- Lūdzu, izvēlieties --"
"Product Thumbnail Itself","Paša produkta priekšskats"
"Parent Product Thumbnail","Augstāka produkta priekšskats"
"12h AM/PM","12st AM/PM"
24h,24st
Stretch,Izstiept
Tile,Mozaīka
Top/Left,Augša/Kreisais
Top/Right,Augša/Labais
Bottom/Left,Apakša/Kreisais
Bottom/Right,Apakša/Labais
Center,Centrs
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 nepaplašina \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Kļūda saglabājot failu(s)."
"File can not be saved to the destination folder.","Failu nevar saglabāt šajā direktorijā."
"Unknown EAV indexer type ""%1"".","Nezināms EAV indeksētāja veids ""%1""."
"We can't rebuild the index for an undefined product.","Nevar pārbūvēt indeksus nedefinētam produktam."
"Bad value was supplied.","Tika norādīta nederīga vērtība."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Parasta kataloga modulim ir %2$d filtrējamu un/vai šķirojamu atribūtu limits. Pašlaik ir %1$d. Lūdzu samaziniet filtrējamo/šķirojamo atribūtu skaitu lai lietotu šo moduli"
"Unsupported product type ""%1"".","Produkta veids ""%1"" netiek atbalstīts."
"Please correct the category.","Izlabojiet kategoriju."
"Must be category model instance or its id.","Jābūt kategorijas modeļa instancei vai tās id."
"The attribute model is not defined.","Atribūta modelis nav definēts."
Category,Kategorija
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nepaplašina \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nepaplašina \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filtram jābūt objektam. Izvēlieties pareizu filtru."
"Clear Price","Notīrīt cenu"
"%1 and above","%1 un vairāk"
"Group price must be a number greater than 0.","Grupas cenai jābūt lielākai kā 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Mēdiju Galerijas konvertoram jābūt EntryConverterInterface instancei."
"There is no MediaGalleryEntryConverter for given type","Nav EntryConverterInterface dotajam tipam"
"Please enter a number 0 or greater in this field.","Ievadiet ciparu 0 vai lielāku šajā laukā."
"SKU length should be %1 characters maximum.","Artikula garums nevar būt garāks par %1 simboliem."
"Please enter a valid number in this field.","Ievadiet derīgu ciparu šajā laukā."
"We found a duplicate website, tier price, customer group and quantity.","Tika atrasts lapas dublikāts, cenu līmenis, klientu grupa un daudzums."
"Percentage value must be a number between 0 and 100.","Procentu vērtībai jābūt no 0 līdz 100."
"Invalid option id %1","Neapreizs opcijas id %1"
"Provided Attribute set non product Attribute set.","Piedāvātais Atribūtu kopums nav produkta Atribūtu kopums."
"Use config","Lietot konfigurāciju"
"Attribute Set already exists.","Atribūtu kopa jau eksistē."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Nevar nokopēt failu %1. Nodzēsiet mēdiju failu ar neeksistējošiem attēliem un mēģiniet vēlreiz."
"The option type to get group instance is incorrect.","Opcijas veids lai iegūtu grupu ir nepareizs."
"Select type options required values rows.","Izvēlieties opcijas veidu obligātās vērtības rindas."
"Please specify date required option(s).","Norādiet datuma obligātās opcijas."
"Please specify time required option(s).","Norādiet laika obligātās opcijas."
"The option instance type in options group is incorrect.","Opcijas veids opciju grupā ir nepareizs."
"The product instance type in options group is incorrect.","Produkta veids opciju grupa ir nepareizs."
"The configuration item option instance in options group is incorrect.","Konfigurējamās vienības opcija grupā ir nepareiza."
"The configuration item instance in options group is incorrect.","Konfigurējamās vienība opciju grupā ir nepareiza."
"The BuyRequest instance in options group is incorrect.","BuyRequest opciju grupā nav pareiza."
"We can't add the product to the cart because of an option validation issue.","Nevar pievienot grozam produktu. Kļūdaina opciju validācija."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nepaplašina \Magento\Catalog\Model\Product\Option\Type\DefaultType"
